03/01/2002, apple, iphone, my new iphone, 1000, my comment, 123456
03/01/2002, Apple, iPhone, My new iPhone, 1000, My comment, 123456
05/12/2010, Samsung, Galaxy S, Upgraded to a Samsung phone, 800, Happy with my new device, 789012
08/27/2015, Sony, Xperia, Bought a Sony Xperia, 600, Impressed by the camera quality, 456789
02/14/2020, Google, Pixel, Switched to a Google Pixel, 900, Loving the pure Android experience, 987654
11/30/2021, OnePlus, 9 Pro, Upgraded to OnePlus 9 Pro, 1100, Fast and smooth performance, 246813
09/10/2008, Nokia, N95, My first smartphone, 500, Great for its time, 135792
06/25/2013, HTC, One, Switched to an HTC One, 600, Impressed by the build quality, 864209
04/17/2016, LG, G5, Tried the LG G5, 400, Unique modular design, 357951
07/02/2018, Motorola, Moto G6, Affordable and reliable, 250, Good budget phone, 624378
03/05/2021, Xiaomi, Mi 11, Bought the Xiaomi Mi 11, 800, Impressive camera features, 219843
06/25/2016, LG, Xperia, My LG Xperia, 409, A stupid monkey jumps merrily., 327339
03/16/2010, OnePlus, One, My OnePlus One, 220, A stupid rabbit hits merrily., 831126
04/26/2015, Nokia, One, My Nokia One, 304, A adorable rabbit drives merrily., 993480
04/13/2014, HTC, Xperia, My HTC Xperia, 595, A dirty monkey drives occasionally., 868085
12/05/2022, Xiaomi, iPhone, My Xiaomi iPhone, 320, A stupid girl barfs merrily., 748294
02/24/2023, Xiaomi, iPhone, My Xiaomi iPhone, 1414, A adorable rabbit runs dutifully., 947017
12/14/2009, Xiaomi, Mi, My Xiaomi Mi, 206, A clueless rabbit barfs foolishly., 223802
12/11/2020, Nokia, Lumia, My Nokia Lumia, 1356, A dirty puppy hits foolishly., 176777
06/09/2011, Samsung, Moto, My Samsung Moto, 615, A adorable monkey runs occasionally., 475698
01/21/2002, Nokia, Lumia, My Nokia Lumia, 1382, A dirty car runs occasionally., 712111
02/03/2001, Apple, Moto, My Apple Moto, 365, A adorable rabbit hits merrily., 233101
02/17/2001, Motorola, Lumia, My Motorola Lumia, 1215, A clueless rabbit jumps dutifully., 180769
01/26/2003, Google, Xperia, My Google Xperia, 797, A dirty puppy hits occasionally., 411190
06/15/2009, Google, Galaxy, My Google Galaxy, 858, A stupid monkey drives merrily., 766555
10/01/2014, Google, Moto, My Google Moto, 687, A odd puppy runs merrily., 283585
11/26/2020, Google, One, My Google One, 1346, A clueless car barfs occasionally., 912937
12/16/2009, Xiaomi, Moto, My Xiaomi Moto, 1224, A clueless rabbit drives dutifully., 377053
06/12/2007, Apple, Lumia, My Apple Lumia, 827, A adorable puppy jumps merrily., 507896
09/01/2003, LG, One, My LG One, 556, A adorable girl hits occasionally., 835679
10/15/2021, Xiaomi, Mi, My Xiaomi Mi, 318, A stupid puppy hits occasionally., 819646
11/19/2004, Apple, Moto, My Apple Moto, 1169, A odd monkey drives merrily., 819705
07/09/2000, Google, Galaxy, My Google Galaxy, 1396, A adorable girl hits merrily., 634683
11/04/2000, LG, Lumia, My LG Lumia, 1227, A dirty car jumps foolishly., 839908
02/19/2020, HTC, Pixel, My HTC Pixel, 601, A odd car barfs crazily., 461852
11/02/2020, Xiaomi, Galaxy, My Xiaomi Galaxy, 968, A dirty monkey jumps dutifully., 484404
12/12/2023, HTC, iPhone, My HTC iPhone, 1143, A dirty car jumps foolishly., 454745
03/07/2017, Samsung, Pixel, My Samsung Pixel, 239, A odd monkey hits occasionally., 469458
07/12/2020, Google, Galaxy, My Google Galaxy, 704, A adorable puppy jumps dutifully., 615866
12/28/2005, Apple, Moto, My Apple Moto, 982, A clueless girl hits foolishly., 692017
01/10/2014, Nokia, Galaxy, My Nokia Galaxy, 631, A adorable puppy hits foolishly., 757881
06/22/2020, OnePlus, Lumia, My OnePlus Lumia, 1010, A adorable monkey hits crazily., 670136
05/10/2002, Motorola, One, My Motorola One, 758, A stupid puppy barfs merrily., 721305
10/23/2002, Samsung, Xperia, My Samsung Xperia, 841, A adorable car barfs crazily., 388622
01/03/2021, Nokia, Pixel, My Nokia Pixel, 681, A dirty rabbit jumps occasionally., 632928
08/01/2016, Google, Moto, My Google Moto, 619, A adorable monkey hits dutifully., 324524
05/23/2009, HTC, Mi, My HTC Mi, 472, A odd rabbit hits crazily., 179296
07/08/2008, Samsung, One, My Samsung One, 313, A stupid puppy barfs crazily., 318513
12/17/2005, LG, Galaxy, My LG Galaxy, 985, A odd monkey drives crazily., 131957
02/11/2006, HTC, Lumia, My HTC Lumia, 1457, A clueless puppy hits merrily., 763318
03/10/2019, HTC, Pixel, My HTC Pixel, 1014, A clueless rabbit barfs dutifully., 165678
12/21/2021, HTC, Xperia, My HTC Xperia, 353, A adorable puppy hits dutifully., 275995
11/25/2012, Motorola, Pixel, My Motorola Pixel, 1187, A clueless puppy jumps merrily., 385488
01/16/2023, Motorola, Galaxy, My Motorola Galaxy, 1077, A clueless puppy drives occasionally., 853159
08/27/2007, Motorola, Moto, My Motorola Moto, 1233, A stupid girl barfs foolishly., 163073
02/19/2009, Apple, Pixel, My Apple Pixel, 636, A dirty puppy drives foolishly., 358767
04/16/2014, LG, Pixel, My LG Pixel, 494, A clueless girl hits foolishly., 476392
08/23/2012, Apple, Lumia, My Apple Lumia, 721, A clueless puppy runs foolishly., 418270
03/10/2023, HTC, One, My HTC One, 325, A adorable rabbit jumps crazily., 828970
04/24/2012, Apple, Xperia, My Apple Xperia, 1260, A dirty monkey barfs occasionally., 364432
10/15/2000, HTC, Xperia, My HTC Xperia, 782, A adorable rabbit runs crazily., 609959
08/27/2014, Google, One, My Google One, 1107, A stupid rabbit jumps occasionally., 596011
01/21/2006, Nokia, Galaxy, My Nokia Galaxy, 518, A adorable car runs occasionally., 720213
10/14/2019, OnePlus, Mi, My OnePlus Mi, 596, A dirty girl barfs crazily., 481609
10/28/2006, HTC, Mi, My HTC Mi, 1182, A clueless rabbit jumps occasionally., 499471
04/19/2015, LG, Mi, My LG Mi, 669, A odd car barfs dutifully., 298122
12/11/2001, OnePlus, One, My OnePlus One, 775, A adorable monkey jumps foolishly., 899200
